 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,20,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, cauliflower, stalks",vegetable prep, cauliflower, stalks,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,25,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,26,Pre,,"Bread, Baked Items",N,N,"cake, coffee grounds",cake, coffee grounds,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,19,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable scrap, stalks, cauliflower, citrus",vegetable scrap, stalks, cauliflower, citrus,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,24,Pre,,Mixed Streams,N,N,"potato skins, stalks, coffee grounds",potato skins, stalks, coffee grounds,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,23,Pre,,Citrus Peels / Skins,Y,N,"citrus, pineapple",citrus, pineapple,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,18,Pre,,"Vegetable: Stalks, Ends",Y,N,"cauliflower, stalks",cauliflower, stalks,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,23,Pre,,Mixed Streams,N,N,"coffee grounds, fruit pulp",coffee grounds, fruit pulp,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,25,Pre,,"Bread, Baked Items",Y,N,baked goods,baked goods,,,,,,,High Generator,,,,,,,,,
07/06/23,#N/A,547,07/06/2023547,30,Pre,,Juicery Pulp,Y,N,pulp,pulp,,,,,,,#N/A,,,,,,,,,
07/06/23,Tom's Juice (Manhattan),1181,07/06/20231181,24,Pre,,Fruit Byproduct,Y,N,"fruit, discard",fruit, discard,,,,,,Low Generator,,,,,,,,,
07/06/23,Tom's Juice (Manhattan),921,07/06/2023921,25,Pre,,Fruit Byproduct,Y,N,fruit skins,fruit skins,,,,,,,Low Generator,,,,,,,,,
07/06/23,Banter (Sullivan St. - Manhattan),499,07/06/2023499,16,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, quinoa",plate scrapings, quinoa,,,,,,High Generator,,,,,,,,,
07/06/23,Lord's (Manhattan),809,07/06/2023809,20,Pre,,Mixed Streams,N,N,"vegetable scraps, dough, citrus",vegetable scraps, dough, citrus,,,,,Med Generator,,,,,,,,,
07/06/23,Lord's (Manhattan),1353,07/06/20231353,18,Pre,,Mixed Streams,N,N,"flour, stalks, fish byproduct",flour, stalks, fish byproduct,,,,,Med Generator,,,,,,,,,
07/06/23,#N/A,1278,07/06/20231278,35,Pre,,Juicery Pulp,Y,N,fruit pulp,fruit pulp,,,,,,,#N/A,,,,,,,,,
07/06/23,#N/A,473,07/06/2023473,25,Pre,,Juicery Pulp,Y,N,"fruit pulp, pineapple",fruit pulp, pineapple,,,,,,#N/A,,,,,,,,,
07/06/23,Banter (Sullivan St. - Manhattan),512,07/06/2023512,28,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, quinoa, strawberries, bread",plate scrapings, quinoa, strawberries, bread,,,,High Generator,,,,,,,,,
07/06/23,#N/A,817,07/06/2023817,20,Mixed,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"bread, eggshells, plate scrapings, potato",bread, eggshells, plate scrapings, potato,,,,#N/A,,,,,,,,,
07/06/23,#N/A,550,07/06/2023550,25,Mixed,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, eggshells, bread",plate scrapings, eggshells, bread,,,,,#N/A,,,,,,,,,
07/06/23,#N/A,1153,07/06/20231153,25,Pre,,Mixed Streams,N,N,"fruit prep, canteloupe, stalks",fruit prep, canteloupe, stalks,,,,,#N/A,,,,,,,,,
07/06/23,Banter (Sullivan St. - Manhattan),-,07/06/2023-,16,Pre,,"Vegetable: Stalks, Ends",N,N,"vegetable prep, stalks",vegetable prep, stalks,,,,,,High Generator,,,,,,,,,
07/06/23,Tom's Juice (Manhattan),169,07/06/2023169,25,Pre,,Fruit Byproduct,N,N,"canteloupe, ginger, citrus",canteloupe, ginger, citrus,,,,,Low Generator,,,,,,,,,
07/06/23,Banter (Sullivan St. - Manhattan),2215,07/06/20232215,17,Mixed,,Vegetable: Peels,N,N,"potato, coffee grounds, citrus, plate scraping",potato, coffee grounds, citrus, plate scraping,,,,High Generator,,,,,,,,,
07/06/23,Lord's (Manhattan),811,07/06/2023811,5,Post,,Plate Scrapings: Generic,Y,Y,plate scrapings,plate scrapings,,,,,,,Med Generator,,,,,,,,,
07/22/23,King (Manhattan),1435,07/22/20231435,28,Post,,Plate Scrapings: No Meat,N,U,"plate scrapings, bread, rice, beans, ",plate scrapings, bread, rice, beans, ,,,Med Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),1267,07/22/20231267,,Pre ,,"Vegetable: Stalks, Ends",Y,N,artichoke,artichoke,,,,,,,Low Generator,,,,,,,,,
07/22/23,King (Manhattan),2421,07/22/20232421,,Mixed,,Plate Scrapings: No Meat,N,U,"vegetable prep, eggshells, plate scrapings ",vegetable prep, eggshells, plate scrapings ,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,2438,07/22/20232438,,Pre,,Mixed Streams,Y,N,"vegetable prep, citrus limes",vegetable prep, citrus limes,,,,,,#N/A,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),467,07/22/2023467,,Pre,,Vegetable Scrap: Generic,Y,N,mushrooms,mushrooms,,,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),332,07/22/2023332,,Pre,,Vegetable Scrap: Generic,Y,N,"avocado, banana, strawberry",avocado, banana, strawberry,,,,,High Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),1561,07/22/20231561,,Mixed,,Vegetable Scrap: Generic,Y,N,"vegetable prep, chickpeas",vegetable prep, chickpeas,,,,,,Low Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),2312,07/22/20232312,,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, quinoa",plate scrapings, quinoa,,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),984,07/22/2023984,,Mixed,,Plate Scrapings: Generic,N,U,"mushrooms, coffee, plate scrapings",mushrooms, coffee, plate scrapings,,,,,High Generator,,,,,,,,,
07/22/23,King (Manhattan),859,07/22/2023859,,Pre,,Mixed Streams,N,Y,"meat, citrus limes, fish discard",meat, citrus limes, fish discard,,,,,Med Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),939,07/22/2023939,,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, kale stalks",vegetable prep, kale stalks,,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),2316,07/22/20232316,,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, coffee grounds, citrus ",vegetable prep, coffee grounds, citrus ,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),65,07/22/202365,,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, potato, bread",plate scrapings, potato, bread,,,,,High Generator,,,,,,,,,
07/22/23,Nudibranch (Manhattan),1581,07/22/20231581,27,Post,,Plate Scrapings: No Meat,N,U,"plate scrapings, vegetables, potetos",plate scrapings, vegetables, potetos,,,,,Med Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),1436,07/22/20231436,17,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, corn husks",vegetable prep, corn husks,,,,,,Low Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),102,07/22/2023102,24,Pre,,Mixed Streams,N,N,"coffee grounds, avocado peels, bananas",coffee grounds, avocado peels, bananas,,,,,High Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),2407,07/22/20232407,26,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, vegetable content",plate scrapings, vegetable content,,,,,,Low Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),522,07/22/2023522,34,Pre,,Vegetable Scrap: Generic,Y,N,vegetable prep,vegetable prep,,,,,,,Low Generator,,,,,,,,,
07/22/23,King (Manhattan),1316,07/22/20231316,18,Mixed,,Mixed Streams,N,U,"vegetable prep, cheese",vegetable prep, cheese,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,1180,07/22/20231180,14,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, corn husks, stalks",vegetable prep, corn husks, stalks,,,,,#N/A,,,,,,,,,
07/22/23,Lord's (Manhattan),559,07/22/2023559,20,Pre,,Mixed Streams,N,N,"dough, vegetable prep",dough, vegetable prep,,,,,,Med Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),2406,07/22/20232406,10,Mixed,,Plate Scrapings: Generic,N,U,"plate scrapings, coffee grounds",plate scrapings, coffee grounds,,,,,,High Generator,,,,,,,,,
07/22/23,King (Manhattan),964,07/22/2023964,16,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, pepers, beans",vegetable prep, pepers, beans,,,,,Med Generator,,,,,,,,,
07/22/23,Tom's Juice (Manhattan),582,07/22/2023582,21.2,Pre,,Citrus Peels / Skins,Y,N,"citrus peels, grapefruitl, pineapple",citrus peels, grapefruitl, pineapple,,,,,Low Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),2177,07/22/20232177,22,Pre,,Mixed Streams,N,U,"vegetable prep, coffee grounds, strawberry tops",vegetable prep, coffee grounds, strawberry tops,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),83,07/22/202383,12.8,Pre,,Mixed Streams,N,N,"bread, eggshells, avocado peels ",bread, eggshells, avocado peels ,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),813,07/22/2023813,11,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, cabbage, pea shoots",vegetable prep, cabbage, pea shoots,,,,,High Generator,,,,,,,,,
07/22/23,Mimi (Manhattan),414,07/22/2023414,20.8,Mixed,,Plate Scrapings: No Meat,N,U,"plate scrapings, bread, shells, vegetable prep ",plate scrapings, bread, shells, vegetable prep ,,,,Med Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),825,07/22/2023825,14.4,Mixed,,"Vegetable: Stalks, Ends",Y,U,"vegetable prep, mushrooms, pea shoots",vegetable prep, mushrooms, pea shoots,,,,,High Generator,,,,,,,,,
07/22/23,#N/A,413,07/22/2023413,15.8,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, cous cous",plate scrapings, cous cous,,,,,,#N/A,,,,,,,,,
07/22/23,#N/A,238,07/22/2023238,21.8,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,#N/A,,,,,,,,,
07/22/23,Nudibranch (Manhattan),143,07/22/2023143,8,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, general ",plate scrapings, general ,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,1346,07/22/20231346,12,Pre,,General Carbs/Starches,N,N,"leftover bread, vegetable prep",leftover bread, vegetable prep,,,,,,#N/A,,,,,,,,,
07/22/23,Nudibranch (Manhattan),865,07/22/2023865,26.3,Mixed,,Mixed Streams,N,U,"vegetable prep, plate scrapings",vegetable prep, plate scrapings,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,733,07/22/2023733,14.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, celery stalks, tomato scallion",vegetable prep, celery stalks, tomato scallion,,,,,#N/A,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),1152,07/22/20231152,7,Pre,,Mixed Streams,N,N,"vegetable prep, bread ",vegetable prep, bread ,,,,,,High Generator,,,,,,,,,
07/22/23,King (Manhattan),926,07/22/2023926,23.8,Pre,,Mixed Streams,N,N,"eggshells, vegetable prep ",eggshells, vegetable prep ,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,2369,07/22/20232369,26,Pre,,Mixed Streams,N,N,"vegetable prep, eggshells, sauce",vegetable prep, eggshells, sauce,,,,,#N/A,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),1589,07/22/20231589,12.8,Pre,,Mixed Streams,N,N,"eggshells, banana peels, ",eggshells, banana peels, ,,,,,High Generator,,,,,,,,,
07/22/23,#N/A,1183,07/22/20231183,18,Mixed,,Mixed Streams,N,Y,"vegetable prep, raw meat",vegetable prep, raw meat,,,,,,#N/A,,,,,,,,,
07/22/23,Frevo (Manhattan),1138,07/22/20231138,20.6,Pre,,Mixed Streams,N,Y,"fish byproduct, vegeable prep, citrus",fish byproduct, vegeable prep, citrus,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),515,07/22/2023515,14.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, brocoli kale stalks",vegetable prep, brocoli kale stalks,,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),72,07/22/202372,19.6,Post,,Plate Scrapings: No Meat,N,U,"plate scrapings, cous couse, vegetable",plate scrapings, cous couse, vegetable,,,,,High Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),2026,07/22/20232026,17.4,Pre,,Vegetable: Peels,Y,N,"vegetable prep, bananas, greens",vegetable prep, bananas, greens,,,,,High Generator,,,,,,,,,
07/22/23,Wesley (Manhattan),776,07/22/2023776,16.4,Pre,,Mixed Streams,N,N,"vegetable prep, carbs, rice ",vegetable prep, carbs, rice ,,,,,Low Generator,,,,,,,,,
07/22/23,Frevo (Manhattan),2016,07/22/20232016,12.8,Meat,,Red Meat Discard,N,Y,"raw red meat, bones",raw red meat, bones,,,,,,High Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),439,07/22/2023439,15.8,Pre,,Fish Byproduct,Y,Y,fish discard,fish discard,,,,,,,Med Generator,,,,,,,,,
07/22/23,King (Manhattan),2378,07/22/20232378,27.6,Meat,,Red Meat Discard,Y,Y,raw red meat,raw red meat,,,,,,,Med Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),1371,07/22/20231371,14.6,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, fries, bread, vegetable ",plate scrapings, fries, bread, vegetable ,,,,High Generator,,,,,,,,,
07/22/23,#N/A,235,07/22/2023235,26.7,Mixed,,Plate Scrapings: Generic,N,U,"vegetable prep, stalks, pickles, plate scrapings",vegetable prep, stalks, pickles, plate scrapings,,,,#N/A,,,,,,,,,
07/22/23,Tom's Juice (Manhattan),2317,07/22/20232317,30.2,Pre,,Juicery Pulp,Y,N,fruit pulp,fruit pulp,,,,,,,Low Generator,,,,,,,,,
07/22/23,Frevo (Manhattan),472,07/22/2023472,28,Pre,,Mixed Streams,N,Y,"fish byproduct, dough, vegetable prep",fish byproduct, dough, vegetable prep,,,,,High Generator,,,,,,,,,
07/22/23,King (Manhattan),854,07/22/2023854,35,Meat,,Red Meat Discard,N,Y,"raw red meat, bones",raw red meat, bones,,,,,,Med Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),-,07/22/2023-,14.2,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, herbs, citrus",vegetable prep, herbs, citrus,,,,,High Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),1179,07/22/20231179,27.6,Pre,,General Carbs/Starches,Y,N,potato skins,potato skins,,,,,,,Med Generator,,,,,,,,,
07/22/23,Frevo (Manhattan),2375,07/22/20232375,17,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable discard, mushrooms",vegetable discard, mushrooms,,,,,,High Generator,,,,,,,,,
07/22/23,Frevo (Manhattan),1355,07/22/20231355,22.4,Pre,,Mixed Streams,N,Y,"vegetable prep, pea shoots, fish discard",vegetable prep, pea shoots, fish discard,,,,,High Generator,,,,,,,,,
07/22/23,#N/A,705,07/22/2023705,19.4,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, shells, meat, bread",plate scrapings, shells, meat, bread,,,,#N/A,,,,,,,,,
07/22/23,#N/A,1479,07/22/20231479,9,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, kale stalks, stems",vegetable prep, kale stalks, stems,,,,,#N/A,,,,,,,,,
07/22/23,#N/A,716,07/22/2023716,24,Pre,,Citrus Peels / Skins,Y,N,"fruit peels, pineapple",fruit peels, pineapple,,,,,,#N/A,,,,,,,,,
07/22/23,#N/A,1133,07/22/20231133,14.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable stalks, ends",vegetable stalks, ends,,,,,,#N/A,,,,,,,,,
07/22/23,Banter (Sullivan St. - Manhattan),134,07/22/2023134,33.2,Mixed,,Mixed Streams,N,U,"citrus, plate scrapings, cous cous, bread",citrus, plate scrapings, cous cous, bread,,,,High Generator,,,,,,,,,
07/22/23,Tom's Juice (Manhattan),1271,07/22/20231271,38.6,Pre,,Fruit Byproduct,Y,N,"fruit pulp, pineapple, citrus ",fruit pulp, pineapple, citrus ,,,,,Low Generator,,,,,,,,,
07/22/23,#N/A,852,07/22/2023852,19.2,Mixed,,Mixed Streams,N,U,"citrus, mixed, mussle shells",citrus, mixed, mussle shells,,,,,#N/A,,,,,,,,,
07/22/23,Tom's Juice (Manhattan),93,07/22/202393,12.2,Pre,,Citrus Peels / Skins,Y,N,"citrus peels, mango peels",citrus peels, mango peels,,,,,,Low Generator,,,,,,,,,
07/22/23,Tom's Juice (Manhattan),139,07/22/2023139,29.8,Pre,,Fruit Byproduct,Y,N,"fruit peels, melon, fruit pulp",fruit peels, melon, fruit pulp,,,,,Low Generator,,,,,,,,,
07/22/23,#N/A,359,07/22/2023359,25.8,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, oyster shells, fries",plate scrapings, bread, oyster shells, fries,,,,#N/A,,,,,,,,,
07/22/23,#N/A,393,07/22/2023393,28.8,Pre,,General Carbs/Starches,Y,N,"potato skins, potato",potato skins, potato,,,,,,#N/A,,,,,,,,,
07/22/23,#N/A,591,07/22/2023591,33,Mixed,,Plate Scrapings: Generic,N,Y,"plate scrapings, meat, bread, citrus lemon",plate scrapings, meat, bread, citrus lemon,,,,#N/A,,,,,,,,,
07/22/23,Van Da (Manhattan),1362,07/22/20231362,13.6,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, ",vegetable prep, ,,,,,,Low Generator,,,,,,,,,
07/22/23,Van Da (Manhattan),953,07/22/2023953,22.2,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, cabbage",vegetable prep, cabbage,,,,,,Low Generator,,,,,,,,,
07/22/23,Van Da (Manhattan),1535,07/22/20231535,24.4,Mixed,,Plate Scrapings: Generic,N,U,"vegetable prep, plate scrapings",vegetable prep, plate scrapings,,,,,,Low Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),1511,07/22/20231511,17.8,Pre,,Mixed Streams,N,U,"eggshells, potato skins, vegetable skins",eggshells, potato skins, vegetable skins,,,,,Med Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),1452,07/22/20231452,35.4,Pre,,Mixed Streams,N,U,"potato skins, fish byproduct",potato skins, fish byproduct,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,553,07/22/2023553,17.6,Pre,,Vegetable Scrap: Generic,N,N,"vegetable prep, discard ",vegetable prep, discard ,,,,,,#N/A,,,,,,,,,
07/22/23,King (Manhattan),1510,07/22/20231510,14.4,Pre,,Vegetable Scrap: Generic,Y,N,vegetable pep,vegetable pep,,,,,,,Med Generator,,,,,,,,,
07/22/23,Van Da (Manhattan),1437,07/22/20231437,31,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,Low Generator,,,,,,,,,
07/22/23,Van Da (Manhattan),422,07/22/2023422,22.2,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, meat, potatoes",plate scrapings, meat, potatoes,,,,,Low Generator,,,,,,,,,
07/22/23,Banter (Hudson St. - Manhattan),2110,07/22/20232110,10.8,Pre,,Mixed Streams,N,U,"bread, eggshells, peels",bread, eggshells, peels,,,,,High Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),154,07/22/2023154,28.2,Pre,,Plate Scrapings: Generic,N,U,"potato skins, plate scrapings, peppers",potato skins, plate scrapings, peppers,,,,,Med Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),312,07/22/2023312,31.8,Pre,,General Carbs/Starches,Y,N,potato skins,potato skins,,,,,,,Med Generator,,,,,,,,,
07/22/23,#N/A,1408,07/22/20231408,11.6,Pre,,Vegetable Scrap: Generic,Y,N,vegetable prep,vegetable prep,,,,,,,#N/A,,,,,,,,,
07/22/23,Lord's (Manhattan),2154,07/22/20232154,13.4,PRE,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuce",vegetable prep, lettuce,,,,,,Med Generator,,,,,,,,,
07/22/23,Lord's (Manhattan),2373,07/22/20232373,23,Pre,,General Carbs/Starches,Y,N,potato skins,potato skins,,,,,,,Med Generator,,,,,,,,,
07/22/23,Frevo (Manhattan),2423,07/22/20232423,30.6,Mixed,,Mixed Streams,N,Y,"vegetable prep, fish byproduct, red meat",vegetable prep, fish byproduct, red meat,,,,,High Generator,,,,,,,,,
07/22/23,King (Manhattan),853,07/22/2023853,19.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, pea shoots, skins ",vegetable prep, pea shoots, skins ,,,,,Med Generator,,,,,,,,,
07/22/23,King (Manhattan),499,07/22/2023499,22.4,Pre,,Fish Byproduct,Y,Y,fish byproduct,fish byproduct,,,,,,,Med Generator,,,,,,,,,
07/23/23,Rhodora,1050,07/23/20231050,5,TRASH,,N/A,,,N/A,N/A,,,,,,,Med Generator,,,,,,,,,
07/23/23,Glasserie,964,07/23/2023964,14.4,shells ,,Seafood Shells,Y,U,shells,shells,,,,,,,High Generator,,,,,,,,,
07/23/23,Electric Beets,313,07/23/2023313,19.6,Pre,,Vegetable Scrap: Generic,Y,N,vegetable preop ,vegetable preop ,,,,,,,High Generator,,,,,,,,,
07/23/23,Poppy's Catering (nextdoor to Alma),609,07/23/2023609,14.6,Mixed,,Plate Scrapings: Generic,N,U,"plate scrapings, vegetable prep ",plate scrapings, vegetable prep ,,,,,,Med Generator,,,,,,,,,
07/23/23,Poppy's Catering (nextdoor to Alma),104,07/23/2023104,11.2,Pre,,Mixed Streams,N,U," vegetable prep, eggshells", vegetable prep, eggshells,,,,,,Med Generator,,,,,,,,,
07/23/23,#N/A,830,07/23/2023830,22.8,Pre,,Mixed Streams,N,N,"vegetable prep, endive, bread dough ",vegetable prep, endive, bread dough ,,,,,#N/A,,,,,,,,,
07/23/23,Electric Beets,85,07/23/202385,8,Pre,,Mixed Streams,N,N,"vegetable prep, coffee grounds ",vegetable prep, coffee grounds ,,,,,,High Generator,,,,,,,,,
07/23/23,LaLou,392,07/23/2023392,22.4,Post,,Plate Scrapings: Generic,N,U,plate scrapings ,plate scrapings ,,,,,,,Med Generator,,,,,,,,,
07/23/23,Poppy's Catering (nextdoor to Alma),2400,07/23/20232400,12.2,Post,,Mixed Streams,N,U,"vegetable prep, beans, corn, liquid",vegetable prep, beans, corn, liquid,,,,Med Generator,,,,,,,,,
07/23/23,Fausto,506,07/23/2023506,16.8,Pre,,Vegetable Scrap: Generic,Y,N,"cherrie tops, vegetable preps",cherrie tops, vegetable preps,,,,,,High Generator,,,,,,,,,
07/23/23,Fausto,67,07/23/202367,21.8,Pre,,Citrus Peels / Skins,Y,N,citrus lemon,citrus lemon,,,,,,,High Generator,,,,,,,,,
07/23/23,The Fly,2191,07/23/20232191,33,Mixed,,Mixed Streams,N,Y,"vegetable prep, meat chicken",vegetable prep, meat chicken,,,,,,Low Generator,,,,,,,,,
07/23/23,LaLou,2309,07/23/20232309,10,Pre,,Fruit Byproduct,Y,N,fruit discard,fruit discard,,,,,,,Med Generator,,,,,,,,,
07/23/23,Fausto,1157,07/23/20231157,16.4,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, cabbage, stalks",vegetable prep, cabbage, stalks,,,,,High Generator,,,,,,,,,
07/23/23,Fausto,594,07/23/2023594,20.8,Mixed,,Plate Scrapings: Generic,N,U,"vegetable prep, plate scrapings",vegetable prep, plate scrapings,,,,,,High Generator,,,,,,,,,
07/23/23,#N/A,676,07/23/2023676,19.8,Mixed,,Plate Scrapings: Generic,N,U,"fruit discard, prep, plate scrapings",fruit discard, prep, plate scrapings,,,,,#N/A,,,,,,,,,
07/23/23,#N/A,1016,07/23/20231016,17.6,Pre,,Citrus Peels / Skins,Y,N,citrus lemons,citrus lemons,,,,,,,#N/A,,,,,,,,,
07/23/23,Clementine's (Classon Ave),999,07/23/2023999,15.4,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable discard, prep",vegetable discard, prep,,,,,,High Generator,,,,,,,,,
07/23/23,The Fly,505,07/23/2023505,16.8,Pre,,Mixed Streams,N,U,"vegetable prep, eggshells, cauliflower",vegetable prep, eggshells, cauliflower,,,,,Low Generator,,,,,,,,,
07/23/23,Clementine's (Classon Ave),516,07/23/2023516,14.6,Pre,,Citrus Peels / Skins,Y,N,"citrus oranges,",citrus oranges,,,,,,,High Generator,,,,,,,,,
07/23/23,June Wine Bar,1313,07/23/20231313,16,Pre,,"Vegetable: Stalks, Ends",Y,N,"veegetable pre, corn husks ",veegetable pre, corn husks ,,,,,,Med Generator,,,,,,,,,
07/23/23,#N/A,542,07/23/2023542,13,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, corn husks",vegetable prep, corn husks,,,,,,#N/A,,,,,,,,,
07/23/23,Colonie,2431,07/23/20232431,25,Post,,Plate Scrapings: Generic,N,U,plate scrapings ,plate scrapings ,,,,,,,High Generator,,,,,,,,,
07/23/23,June Wine Bar,512,07/23/2023512,26.4,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,Med Generator,,,,,,,,,
07/23/23,Poppy's Cafe,-,07/23/2023-,16.4,Pre,,Vegetable Scrap: Generic,Y,N,vegetable prep,vegetable prep,,,,,,,Med Generator,,,,,,,,,
07/23/23,Miss Ada,262,07/23/2023262,21.8,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, pita",plate scrapings, pita,,,,,,Med Generator,,,,,,,,,
07/23/23,Fausto,986,07/23/2023986,12,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuce",vegetable prep, lettuce,,,,,,High Generator,,,,,,,,,
07/23/23,Bar Vinazo,914,07/23/2023914,14.4,Pre,,Mixed Streams,N,U,"vegetable prep, pepers, eggshells",vegetable prep, pepers, eggshells,,,,,High Generator,,,,,,,,,
07/23/23,Colonie,982,07/23/2023982,22.24,Pre,,Vegetable Scrap: Generic,Y,N,vegetable prep ,vegetable prep ,,,,,,,High Generator,,,,,,,,,
07/23/23,Marlow & Daughters,2022,07/23/20232022,25,Post,,Plate Scrapings: Generic,N,U,plate scrapings ,plate scrapings ,,,,,,,Med Generator,,,,,,,,,
07/23/23,Miss Ada,576,07/23/2023576,35,Post,,Mixed Streams,N,Y,"chicken stock, vegetable prep ",chicken stock, vegetable prep ,,,,,,Med Generator,,,,,,,,,
07/23/23,#N/A,y378,07/23/2023y378,18.2,Pre,,Citrus Peels / Skins,Y,N,"vegetable prep, citrus",vegetable prep, citrus,,,,,,#N/A,,,,,,,,,
